pattern,support,sequences
"[11, 22, 22, 22, 22]",6,"[1, 2, 4, 5, 8, 9]"
"[24, 24, 17, 17, 17]",3,"[1, 8, 9]"
"[27, 27, 15, 15, 15]",5,"[2, 4, 5, 7, 9]"
"[17, 17, 17, 24, 24]",4,"[0, 4, 8, 9]"
"[3, 24, 24, 24, 24]",5,"[2, 4, 5, 6, 7]"
"[24, 24, 24, 24, 3]",5,"[1, 3, 6, 7, 9]"
"[15, 15, 15, 27, 27]",3,"[2, 7, 9]"
"[24, 24, 24, 13, 13]",3,"[5, 8, 9]"
"[23, 23, 23, 23, 6]",4,"[1, 5, 6, 9]"
"[6, 23, 23, 23, 23]",4,"[0, 1, 4, 8]"
"[24, 24, 24, 24, 1]",4,"[0, 4, 8, 9]"
"[16, 20, 20, 20, 20]",4,"[1, 4, 8, 9]"
"[23, 23, 23, 23, 4]",3,"[1, 4, 9]"
"[0, 24, 24, 24, 24]",6,"[1, 3, 6, 7, 8, 9]"
"[24, 24, 24, 24, 0]",6,"[2, 4, 5, 7, 8, 9]"
"[20, 20, 20, 20, 16]",5,"[1, 2, 4, 5, 9]"
"[4, 23, 23, 23, 23]",7,"[0, 1, 4, 5, 6, 8, 9]"
"[15, 20, 20, 20, 20]",4,"[1, 4, 5, 9]"
"[16, 16, 16, 16, 31]",3,"[4, 5, 7]"
"[19, 19, 19, 19, 19]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[31, 16, 16, 16, 16]",3,"[7, 8, 9]"
"[23, 23, 23, 13, 13]",3,"[3, 4, 6]"
"[3, 23, 23, 23, 23]",5,"[1, 3, 5, 6, 8]"
"[20, 20, 20, 20, 15]",5,"[1, 4, 5, 8, 9]"
"[23, 23, 23, 23, 2]",6,"[0, 1, 2, 3, 4, 8]"
"[26, 26, 14, 14, 14]",5,"[0, 1, 5, 7, 8]"
"[18, 19, 19, 19, 19]",3,"[0, 1, 5]"
"[30, 16, 16, 16, 16]",3,"[1, 4, 7]"
"[14, 14, 14, 26, 26]",3,"[4, 5, 8]"
"[19, 19, 19, 19, 18]",6,"[1, 4, 5, 7, 8, 9]"
"[22, 22, 22, 22, 6]",4,"[1, 4, 8, 9]"
"[6, 22, 22, 22, 22]",3,"[3, 6, 7]"
"[11, 11, 24, 24, 24]",4,"[2, 3, 4, 8]"
"[14, 20, 20, 20, 20]",3,"[1, 4, 9]"
"[23, 23, 23, 23, 1]",6,"[1, 4, 5, 7, 8, 9]"
"[1, 23, 23, 23, 23]",6,"[0, 1, 4, 6, 8, 9]"
"[23, 23, 23, 12, 12]",5,"[0, 1, 4, 5, 7]"
"[19, 19, 19, 18, 18]",6,"[1, 4, 5, 7, 8, 9]"
"[18, 18, 19, 19, 19]",3,"[0, 1, 5]"
"[24, 17, 17, 17, 17]",3,"[1, 8, 9]"
"[19, 19, 19, 19, 16]",6,"[0, 1, 2, 4, 5, 9]"
"[16, 19, 19, 19, 19]",5,"[1, 2, 4, 5, 9]"
"[17, 17, 17, 17, 24]",4,"[0, 4, 8, 9]"
"[22, 22, 22, 22, 4]",6,"[1, 3, 4, 5, 8, 9]"
"[16, 16, 20, 20, 20]",4,"[1, 4, 8, 9]"
"[19, 19, 18, 18, 18]",6,"[1, 4, 5, 7, 8, 9]"
"[23, 23, 23, 23, 0]",6,"[0, 1, 4, 6, 8, 9]"
"[18, 18, 18, 19, 19]",3,"[0, 1, 5]"
"[20, 20, 20, 16, 16]",5,"[1, 2, 4, 5, 9]"
"[0, 23, 23, 23, 23]",7,"[0, 1, 3, 4, 5, 8, 9]"
"[18, 18, 18, 18, 19]",3,"[0, 1, 5]"
"[19, 19, 19, 19, 15]",7,"[0, 1, 2, 4, 5, 7, 8]"
"[15, 19, 19, 19, 19]",4,"[4, 7, 8, 9]"
"[19, 18, 18, 18, 18]",6,"[1, 4, 5, 7, 8, 9]"
"[19, 19, 19, 19, 14]",9,"[0, 1, 2, 4, 5, 6, 7, 8, 9]"
"[22, 22, 22, 12, 12]",5,"[0, 1, 4, 5, 9]"
"[14, 19, 19, 19, 19]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[14, 14, 14, 24, 24]",3,"[4, 8, 9]"
"[15, 15, 20, 20, 20]",4,"[1, 4, 5, 9]"
"[18, 18, 18, 18, 18]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[12, 12, 22, 22, 22]",8,"[0, 1, 2, 4, 5, 6, 8, 9]"
"[20, 20, 20, 15, 15]",5,"[1, 4, 5, 8, 9]"
"[15, 15, 15, 15, 29]",3,"[1, 4, 9]"
"[29, 15, 15, 15, 15]",4,"[0, 1, 7, 9]"
"[22, 22, 22, 22, 1]",6,"[0, 4, 5, 6, 7, 9]"
"[20, 20, 20, 20, 9]",3,"[0, 5, 8]"
"[16, 16, 19, 19, 19]",5,"[1, 2, 4, 5, 9]"
"[19, 19, 19, 16, 16]",6,"[0, 1, 2, 4, 5, 9]"
"[11, 11, 22, 22, 22]",6,"[1, 2, 4, 5, 8, 9]"
"[18, 18, 18, 18, 16]",5,"[1, 5, 7, 8, 9]"
"[28, 15, 15, 15, 15]",4,"[0, 1, 7, 9]"
"[0, 22, 22, 22, 22]",3,"[4, 5, 7]"
"[22, 22, 22, 22, 0]",4,"[0, 4, 5, 7]"
"[16, 16, 16, 20, 20]",4,"[1, 4, 8, 9]"
"[20, 20, 16, 16, 16]",5,"[1, 2, 4, 5, 9]"
"[14, 14, 20, 20, 20]",3,"[1, 4, 9]"
"[16, 18, 18, 18, 18]",5,"[1, 5, 7, 8, 9]"
"[15, 15, 15, 15, 27]",3,"[2, 7, 9]"
"[19, 19, 19, 15, 15]",7,"[0, 1, 2, 4, 5, 7, 8]"
"[15, 15, 19, 19, 19]",4,"[4, 7, 8, 9]"
"[15, 18, 18, 18, 18]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[25, 25, 25, 6, 6]",3,"[0, 4, 5]"
"[24, 24, 13, 13, 13]",3,"[5, 8, 9]"
"[18, 18, 18, 18, 15]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[27, 15, 15, 15, 15]",5,"[2, 4, 5, 7, 9]"
"[16, 16, 16, 19, 19]",5,"[1, 2, 4, 5, 9]"
"[18, 18, 18, 16, 16]",5,"[1, 5, 7, 8, 9]"
"[16, 16, 18, 18, 18]",5,"[1, 5, 7, 8, 9]"
"[18, 18, 18, 18, 14]",7,"[0, 2, 4, 5, 7, 8, 9]"
"[19, 19, 16, 16, 16]",6,"[0, 1, 2, 4, 5, 9]"
"[23, 23, 13, 13, 13]",3,"[3, 4, 6]"
"[19, 19, 19, 14, 14]",9,"[0, 1, 2, 4, 5, 6, 7, 8, 9]"
"[14, 14, 19, 19, 19]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[17, 17, 17, 17, 17]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[15, 15, 15, 20, 20]",4,"[1, 4, 5, 9]"
"[20, 20, 15, 15, 15]",5,"[1, 4, 5, 8, 9]"
"[16, 16, 16, 16, 20]",4,"[1, 4, 8, 9]"
"[18, 18, 16, 16, 16]",5,"[1, 5, 7, 8, 9]"
"[26, 26, 26, 3, 3]",3,"[0, 5, 9]"
"[8, 19, 19, 19, 19]",8,"[0, 1, 2, 3, 4, 5, 8, 9]"
"[19, 19, 19, 19, 8]",8,"[0, 3, 4, 5, 6, 7, 8, 9]"
"[20, 16, 16, 16, 16]",5,"[1, 2, 4, 5, 9]"
"[16, 16, 16, 18, 18]",5,"[1, 5, 7, 8, 9]"
"[18, 18, 18, 15, 15]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[6, 6, 24, 24, 24]",5,"[1, 4, 5, 8, 9]"
"[3, 3, 26, 26, 26]",3,"[0, 5, 8]"
"[15, 15, 18, 18, 18]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[15, 15, 15, 19, 19]",4,"[4, 7, 8, 9]"
"[19, 16, 16, 16, 16]",6,"[0, 1, 2, 4, 5, 9]"
"[19, 19, 15, 15, 15]",7,"[0, 1, 2, 4, 5, 7, 8]"
"[16, 16, 16, 16, 19]",5,"[1, 2, 4, 5, 9]"
"[18, 18, 18, 14, 14]",7,"[0, 2, 4, 5, 7, 8, 9]"
"[14, 14, 14, 14, 26]",3,"[4, 5, 8]"
"[24, 24, 24, 5, 5]",6,"[0, 2, 5, 6, 7, 9]"
"[16, 16, 16, 16, 18]",5,"[1, 5, 7, 8, 9]"
"[19, 19, 19, 19, 6]",3,"[1, 5, 6]"
"[18, 16, 16, 16, 16]",5,"[1, 5, 7, 8, 9]"
"[14, 14, 14, 20, 20]",3,"[1, 4, 9]"
"[23, 23, 12, 12, 12]",5,"[0, 1, 4, 5, 7]"
"[26, 14, 14, 14, 14]",5,"[0, 1, 5, 7, 8]"
"[13, 17, 17, 17, 17]",3,"[0, 4, 5]"
"[11, 11, 11, 24, 24]",4,"[2, 3, 4, 8]"
"[6, 6, 23, 23, 23]",4,"[0, 1, 4, 8]"
"[23, 23, 23, 6, 6]",4,"[1, 5, 6, 9]"
"[17, 17, 17, 17, 13]",3,"[0, 5, 8]"
"[15, 15, 15, 18, 18]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[18, 18, 15, 15, 15]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[3, 3, 25, 25, 25]",4,"[1, 5, 7, 9]"
"[19, 19, 14, 14, 14]",9,"[0, 1, 2, 4, 5, 6, 7, 8, 9]"
"[12, 17, 17, 17, 17]",5,"[0, 5, 6, 8, 9]"
"[16, 16, 16, 16, 16]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[18, 18, 18, 18, 8]",5,"[0, 2, 5, 7, 9]"
"[12, 12, 12, 22, 22]",8,"[0, 1, 2, 4, 5, 6, 8, 9]"
"[17, 17, 17, 17, 12]",5,"[1, 5, 6, 8, 9]"
"[22, 22, 12, 12, 12]",5,"[0, 1, 4, 5, 9]"
"[14, 14, 14, 19, 19]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[14, 14, 14, 14, 24]",3,"[4, 8, 9]"
"[20, 15, 15, 15, 15]",5,"[1, 4, 5, 8, 9]"
"[15, 15, 15, 15, 20]",4,"[1, 4, 5, 9]"
"[8, 8, 8, 28, 28]",3,"[4, 5, 9]"
"[19, 19, 19, 19, 3]",5,"[2, 4, 5, 7, 9]"
"[18, 18, 18, 18, 7]",4,"[0, 3, 4, 5]"
"[19, 15, 15, 15, 15]",7,"[0, 1, 2, 4, 5, 7, 8]"
"[15, 15, 15, 15, 19]",4,"[4, 7, 8, 9]"
"[3, 19, 19, 19, 19]",8,"[0, 1, 2, 3, 4, 7, 8, 9]"
"[11, 17, 17, 17, 17]",8,"[0, 1, 3, 4, 5, 6, 8, 9]"
"[15, 16, 16, 16, 16]",7,"[0, 1, 4, 5, 7, 8, 9]"
"[17, 17, 17, 17, 11]",6,"[0, 2, 5, 6, 8, 9]"
"[16, 16, 16, 16, 15]",8,"[0, 1, 4, 5, 6, 7, 8, 9]"
"[0, 0, 26, 26, 26]",4,"[0, 2, 4, 9]"
"[19, 19, 19, 19, 2]",8,"[0, 1, 2, 3, 4, 5, 8, 9]"
"[6, 18, 18, 18, 18]",4,"[1, 5, 8, 9]"
"[16, 16, 16, 15, 15]",8,"[0, 1, 4, 5, 6, 7, 8, 9]"
"[20, 20, 20, 9, 9]",3,"[0, 5, 8]"
"[16, 16, 16, 16, 14]",7,"[1, 2, 3, 4, 5, 7, 9]"
"[3, 3, 24, 24, 24]",5,"[2, 4, 5, 6, 7]"
"[2, 19, 19, 19, 19]",5,"[1, 2, 4, 5, 9]"
"[26, 26, 26, 0, 0]",3,"[0, 3, 4]"
"[18, 18, 14, 14, 14]",7,"[0, 2, 4, 5, 7, 8, 9]"
"[15, 15, 15, 15, 18]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[18, 15, 15, 15, 15]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[6, 6, 22, 22, 22]",3,"[3, 6, 7]"
"[24, 24, 24, 3, 3]",5,"[1, 3, 6, 7, 9]"
"[22, 22, 22, 6, 6]",4,"[1, 4, 8, 9]"
"[15, 15, 16, 16, 16]",7,"[0, 1, 4, 5, 7, 8, 9]"
"[14, 16, 16, 16, 16]",5,"[1, 4, 5, 8, 9]"
"[16, 16, 15, 15, 15]",8,"[0, 1, 4, 5, 6, 7, 8, 9]"
"[9, 17, 17, 17, 17]",4,"[0, 6, 8, 9]"
"[11, 11, 11, 22, 22]",6,"[1, 2, 4, 5, 8, 9]"
"[15, 15, 15, 16, 16]",7,"[0, 1, 4, 5, 7, 8, 9]"
"[23, 23, 23, 4, 4]",3,"[1, 4, 9]"
"[13, 13, 17, 17, 17]",3,"[0, 4, 5]"
"[18, 18, 18, 18, 5]",3,"[7, 8, 9]"
"[4, 4, 23, 23, 23]",7,"[0, 1, 4, 5, 6, 8, 9]"
"[17, 17, 17, 17, 9]",9,"[0, 1, 2, 3, 4, 5, 6, 8, 9]"
"[17, 17, 17, 13, 13]",3,"[0, 5, 8]"
"[1, 19, 19, 19, 19]",4,"[2, 4, 7, 9]"
"[0, 19, 19, 19, 19]",9,"[0, 1, 2, 3, 4, 5, 6, 7, 9]"
"[14, 14, 16, 16, 16]",5,"[1, 4, 5, 8, 9]"
"[19, 19, 19, 19, 0]",7,"[0, 1, 2, 3, 4, 7, 9]"
"[18, 18, 18, 18, 4]",4,"[6, 7, 8, 9]"
"[17, 17, 17, 17, 8]",4,"[1, 5, 8, 9]"
"[16, 15, 15, 15, 15]",8,"[0, 1, 4, 5, 6, 7, 8, 9]"
"[15, 15, 15, 15, 16]",7,"[0, 1, 4, 5, 7, 8, 9]"
"[16, 16, 16, 14, 14]",7,"[1, 2, 3, 4, 5, 7, 9]"
"[8, 17, 17, 17, 17]",8,"[0, 2, 3, 4, 5, 6, 8, 9]"
"[14, 14, 14, 14, 20]",3,"[1, 4, 9]"
"[24, 13, 13, 13, 13]",3,"[5, 8, 9]"
"[23, 13, 13, 13, 13]",3,"[3, 4, 6]"
"[0, 0, 25, 25, 25]",3,"[0, 5, 7]"
"[14, 14, 14, 14, 19]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[12, 12, 17, 17, 17]",5,"[0, 5, 6, 8, 9]"
"[3, 3, 23, 23, 23]",5,"[1, 3, 5, 6, 8]"
"[11, 16, 16, 16, 16]",3,"[4, 5, 8]"
"[18, 18, 18, 18, 3]",4,"[5, 7, 8, 9]"
"[15, 15, 15, 15, 15]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[17, 17, 17, 12, 12]",5,"[1, 5, 6, 8, 9]"
"[3, 18, 18, 18, 18]",9,"[0, 1, 2, 4, 5, 6, 7, 8, 9]"
"[19, 14, 14, 14, 14]",9,"[0, 1, 2, 4, 5, 6, 7, 8, 9]"
"[18, 14, 14, 14, 14]",7,"[0, 2, 4, 5, 7, 8, 9]"
"[16, 16, 14, 14, 14]",7,"[1, 2, 3, 4, 5, 7, 9]"
"[15, 15, 15, 15, 14]",8,"[0, 1, 2, 4, 5, 7, 8, 9]"
"[22, 22, 22, 4, 4]",6,"[1, 3, 4, 5, 8, 9]"
"[14, 15, 15, 15, 15]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[14, 14, 14, 16, 16]",5,"[1, 4, 5, 8, 9]"
"[24, 24, 24, 1, 1]",4,"[0, 4, 8, 9]"
"[17, 17, 17, 17, 6]",3,"[0, 4, 5]"
"[11, 11, 17, 17, 17]",8,"[0, 1, 3, 4, 5, 6, 8, 9]"
"[17, 17, 17, 11, 11]",6,"[0, 2, 5, 6, 8, 9]"
"[8, 8, 19, 19, 19]",8,"[0, 1, 2, 3, 4, 5, 8, 9]"
"[15, 15, 15, 14, 14]",8,"[0, 1, 2, 4, 5, 7, 8, 9]"
"[14, 14, 15, 15, 15]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[17, 17, 17, 17, 5]",3,"[0, 8, 9]"
"[1, 18, 18, 18, 18]",3,"[5, 7, 9]"
"[5, 17, 17, 17, 17]",4,"[0, 5, 8, 9]"
"[13, 13, 13, 17, 17]",3,"[0, 4, 5]"
"[17, 17, 13, 13, 13]",3,"[0, 5, 8]"
"[23, 23, 23, 2, 2]",6,"[0, 1, 2, 3, 4, 8]"
"[19, 19, 19, 8, 8]",8,"[0, 3, 4, 5, 6, 7, 8, 9]"
"[16, 16, 16, 16, 8]",3,"[0, 1, 5]"
"[14, 14, 14, 14, 16]",5,"[1, 4, 5, 8, 9]"
"[24, 24, 24, 0, 0]",6,"[2, 4, 5, 7, 8, 9]"
"[8, 16, 16, 16, 16]",5,"[0, 2, 4, 5, 8]"
"[0, 18, 18, 18, 18]",7,"[0, 2, 3, 4, 5, 7, 9]"
"[4, 17, 17, 17, 17]",4,"[0, 1, 8, 9]"
"[16, 14, 14, 14, 14]",7,"[1, 2, 3, 4, 5, 7, 9]"
"[14, 14, 14, 15, 15]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[15, 15, 15, 15, 12]",3,"[3, 4, 7]"
"[15, 15, 14, 14, 14]",8,"[0, 1, 2, 4, 5, 7, 8, 9]"
"[0, 0, 24, 24, 24]",6,"[1, 3, 6, 7, 8, 9]"
"[18, 18, 18, 18, 0]",7,"[0, 1, 4, 5, 7, 8, 9]"
"[15, 14, 14, 14, 14]",8,"[0, 1, 2, 4, 5, 7, 8, 9]"
"[16, 16, 16, 16, 7]",3,"[1, 4, 9]"
"[23, 12, 12, 12, 12]",5,"[0, 1, 4, 5, 7]"
"[1, 1, 23, 23, 23]",5,"[0, 1, 4, 8, 9]"
"[14, 14, 14, 14, 15]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[3, 17, 17, 17, 17]",8,"[0, 1, 2, 4, 5, 6, 8, 9]"
"[17, 17, 17, 17, 3]",4,"[5, 6, 7, 8]"
"[23, 23, 23, 1, 1]",6,"[1, 4, 5, 7, 8, 9]"
"[17, 17, 17, 17, 2]",4,"[0, 2, 8, 9]"
"[22, 12, 12, 12, 12]",5,"[0, 1, 4, 5, 9]"
"[14, 14, 14, 14, 14]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[12, 12, 12, 12, 22]",8,"[0, 1, 2, 4, 5, 6, 8, 9]"
"[17, 17, 12, 12, 12]",5,"[1, 5, 6, 8, 9]"
"[12, 12, 12, 17, 17]",5,"[0, 5, 6, 8, 9]"
"[18, 18, 18, 8, 8]",5,"[0, 2, 5, 7, 9]"
"[11, 11, 16, 16, 16]",3,"[4, 5, 8]"
"[16, 16, 16, 16, 6]",8,"[0, 2, 4, 5, 6, 7, 8, 9]"
"[0, 0, 23, 23, 23]",7,"[0, 1, 3, 4, 5, 8, 9]"
"[14, 14, 14, 14, 13]",7,"[2, 4, 5, 6, 7, 8, 9]"
"[1, 17, 17, 17, 17]",5,"[0, 4, 6, 8, 9]"
"[17, 13, 13, 13, 13]",3,"[0, 5, 8]"
"[23, 23, 23, 0, 0]",6,"[0, 1, 4, 6, 8, 9]"
"[9, 9, 17, 17, 17]",4,"[0, 6, 8, 9]"
"[15, 15, 15, 12, 12]",3,"[3, 4, 7]"
"[17, 17, 17, 9, 9]",9,"[0, 1, 2, 3, 4, 5, 6, 8, 9]"
"[13, 13, 13, 13, 17]",3,"[0, 4, 5]"
"[17, 17, 17, 17, 1]",9,"[0, 1, 3, 4, 5, 6, 7, 8, 9]"
"[19, 19, 19, 6, 6]",3,"[1, 5, 6]"
"[14, 14, 14, 13, 13]",7,"[2, 4, 5, 6, 7, 8, 9]"
"[17, 17, 17, 17, 0]",6,"[0, 4, 5, 6, 8, 9]"
"[22, 22, 22, 1, 1]",6,"[0, 4, 5, 6, 7, 9]"
"[15, 15, 15, 15, 8]",5,"[1, 4, 5, 8, 9]"
"[25, 25, 6, 6, 6]",3,"[0, 4, 5]"
"[11, 11, 11, 11, 24]",4,"[2, 3, 4, 8]"
"[18, 18, 18, 7, 7]",4,"[0, 3, 4, 5]"
"[0, 17, 17, 17, 17]",7,"[0, 2, 4, 6, 7, 8, 9]"
"[14, 14, 14, 14, 11]",3,"[0, 5, 8]"
"[17, 17, 11, 11, 11]",6,"[0, 2, 5, 6, 8, 9]"
"[11, 14, 14, 14, 14]",3,"[2, 5, 8]"
"[8, 8, 17, 17, 17]",8,"[0, 2, 3, 4, 5, 6, 8, 9]"
"[20, 20, 9, 9, 9]",3,"[0, 5, 8]"
"[15, 15, 15, 15, 7]",7,"[0, 1, 4, 5, 6, 7, 9]"
"[11, 11, 11, 17, 17]",8,"[0, 1, 3, 4, 5, 6, 8, 9]"
"[16, 16, 16, 16, 3]",3,"[1, 2, 7]"
"[17, 17, 17, 8, 8]",4,"[1, 5, 8, 9]"
"[3, 16, 16, 16, 16]",5,"[1, 2, 4, 6, 7]"
"[14, 14, 13, 13, 13]",7,"[2, 4, 5, 6, 7, 8, 9]"
"[6, 6, 6, 24, 24]",5,"[1, 4, 5, 8, 9]"
"[15, 15, 12, 12, 12]",3,"[3, 4, 7]"
"[6, 15, 15, 15, 15]",3,"[4, 6, 9]"
"[22, 22, 22, 0, 0]",4,"[0, 4, 5, 7]"
"[14, 13, 13, 13, 13]",7,"[2, 4, 5, 6, 7, 8, 9]"
"[2, 16, 16, 16, 16]",3,"[2, 4, 9]"
"[14, 14, 14, 14, 10]",3,"[0, 4, 8]"
"[0, 0, 22, 22, 22]",3,"[4, 5, 7]"
"[15, 15, 15, 15, 6]",4,"[0, 3, 6, 9]"
"[10, 14, 14, 14, 14]",3,"[4, 5, 8]"
"[11, 11, 11, 11, 22]",6,"[1, 2, 4, 5, 8, 9]"
"[16, 16, 16, 16, 2]",4,"[0, 2, 4, 8]"
"[6, 6, 18, 18, 18]",4,"[1, 5, 8, 9]"
"[15, 15, 15, 15, 5]",4,"[0, 4, 5, 9]"
"[17, 12, 12, 12, 12]",5,"[1, 5, 6, 8, 9]"
"[11, 11, 11, 16, 16]",3,"[4, 5, 8]"
"[12, 12, 12, 12, 17]",5,"[0, 5, 6, 8, 9]"
"[13, 13, 13, 13, 13]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[0, 16, 16, 16, 16]",7,"[0, 1, 2, 3, 6, 7, 9]"
"[11, 11, 14, 14, 14]",3,"[2, 5, 8]"
"[16, 16, 16, 16, 0]",4,"[1, 4, 5, 8]"
"[6, 6, 6, 23, 23]",4,"[0, 1, 4, 8]"
"[12, 13, 13, 13, 13]",4,"[0, 3, 4, 5]"
"[8, 14, 14, 14, 14]",3,"[4, 6, 9]"
"[13, 13, 13, 13, 12]",6,"[0, 1, 3, 4, 5, 8]"
"[14, 14, 14, 14, 8]",5,"[0, 1, 4, 5, 8]"
"[18, 18, 18, 5, 5]",3,"[7, 8, 9]"
"[23, 23, 6, 6, 6]",4,"[1, 5, 6, 9]"
"[16, 16, 16, 8, 8]",3,"[0, 1, 5]"
